client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,segment
C10326,Individual,Female,India,South,1961-06-17,Personal Use,Yes,Online Search,2,65,3
C10327,Individual,Female,India,East,2001-01-08,Investment,Yes,Online Search,3,25,3
C10328,Individual,Female,USA,West,2000-11-20,Investment,No,Broker,4,26,0
C10329,Individual,Male,India,North,1973-12-01,Investment,Yes,Online Search,5,53,3
C10330,Individual,Female,Canada,Quebec,1969-10-07,Personal Use,No,Referral,5,57,1
C10331,Individual,Male,UK,Wales,1992-05-21,Investment,No,Broker,5,34,1
C10332,Individual,Male,India,East,1962-01-10,Investment,No,Property Portal,3,64,3
C10333,Individual,Female,India,North,1981-11-22,Investment,No,Social Media,4,45,3
C10334,Individual,Male,Singapore,Central,1974-09-09,Investment,Yes,Social Media,3,52,2
C10335,Individual,Male,Canada,Ontario,1991-08-05,Investment,Yes,Broker,3,35,5
C10336,Individual,Male,India,West,1968-01-09,Personal Use,No,Broker,4,58,3
C10337,Individual,Female,UAE,Dubai,1994-01-24,Personal Use,Yes,Social Media,2,32,1
C10338,Individual,Male,India,East,1980-05-19,Investment,No,Property Portal,3,46,3
C10339,Individual,Male,Australia,Victoria,1994-11-07,Investment,Yes,Property Portal,5,32,1
C10340,Individual,Male,India,South,1987-07-09,Investment,No,Social Media,4,39,3
C10341,Individual,Female,Canada,Alberta,1985-07-13,Personal Use,No,Social Media,4,41,5
C10342,Individual,Male,UAE,Abu Dhabi,1979-11-14,Personal Use,No,Referral,1,47,1
C10343,Individual,Female,UAE,Sharjah,1978-03-11,Personal Use,No,Broker,3,48,1
C10344,Individual,Female,India,North,1983-01-08,Personal Use,No,Online Search,5,43,3
C10345,Individual,Female,India,South,1997-12-19,Investment,No,Broker,3,29,3
C10346,Individual,Female,India,West,1970-12-08,Personal Use,No,Broker,4,56,3
C10347,Individual,Female,India,West,2001-08-21,Personal Use,Yes,Social Media,1,25,3
C10348,Individual,Female,India,North,1979-12-16,Investment,Yes,Broker,4,47,3
C10349,Individual,Male,UK,Wales,1965-01-13,Personal Use,Yes,Property Portal,1,61,1
C10350,Individual,Female,India,North,1994-10-07,Investment,No,Online Search,5,32,3
C10351,Individual,Male,India,North,1989-12-26,Personal Use,Yes,Social Media,5,37,3
C10352,Individual,Male,Australia,Victoria,1994-05-08,Investment,No,Referral,5,32,1
C10353,Individual,Female,Singapore,East,1979-09-27,Investment,No,Property Portal,3,47,2
C10354,Individual,Male,Canada,Ontario,2001-07-13,Personal Use,No,Property Portal,5,25,5
C10355,Individual,Male,Australia,Victoria,1978-07-17,Investment,No,Referral,4,48,1
C10356,Individual,Male,India,East,1967-04-18,Investment,Yes,Broker,4,59,3
C10357,Individual,Male,India,West,1978-02-02,Investment,No,Referral,4,48,3
C10358,Individual,Female,UK,England,1985-04-01,Personal Use,No,Referral,1,41,4
C10359,Corporate,Male,USA,West,1997-04-18,Investment,Yes,Social Media,2,29,0
C10360,Individual,Female,India,West,1982-05-19,Investment,Yes,Online Search,5,44,3
C10361,Individual,Male,UK,England,1981-12-08,Personal Use,No,Social Media,3,45,4
C10362,Individual,Male,India,North,1962-04-17,Personal Use,No,Referral,4,64,3
C10363,Individual,Female,India,East,1971-01-12,Investment,Yes,Online Search,4,55,3
C10364,Individual,Male,India,South,1966-10-19,Personal Use,No,Property Portal,5,60,3
C10365,Corporate,Male,UAE,Dubai,1991-09-07,Personal Use,No,Online Search,5,35,1
C10366,Individual,Male,UAE,Sharjah,1987-02-09,Personal Use,Yes,Social Media,5,39,1
C10367,Corporate,Female,India,West,1983-10-02,Investment,No,Referral,3,43,3
C10368,Corporate,Male,Singapore,East,1995-03-11,Investment,No,Broker,3,31,2
C10369,Individual,Female,India,South,1974-10-14,Investment,No,Online Search,4,52,3
C10370,Individual,Male,India,East,1997-02-19,Investment,No,Social Media,1,29,3
C10371,Individual,Female,Singapore,Central,1997-06-09,Investment,Yes,Property Portal,1,29,2
C10372,Individual,Female,Australia,NSW,1972-09-07,Investment,Yes,Social Media,4,54,3
C10373,Individual,Male,Singapore,East,1970-12-03,Personal Use,Yes,Social Media,4,56,2
C10374,Individual,Male,UK,Scotland,1994-04-06,Investment,Yes,Property Portal,5,32,1
C10375,Individual,Female,UAE,Abu Dhabi,1992-11-21,Investment,Yes,Online Search,3,34,1
C10376,Individual,Female,UAE,Abu Dhabi,1964-02-06,Personal Use,No,Referral,3,62,1
C10377,Individual,Male,India,East,1970-03-16,Investment,No,Social Media,2,56,3
C10378,Individual,Female,India,North,1974-08-02,Investment,No,Social Media,5,52,3
C10379,Individual,Male,India,West,1985-01-09,Personal Use,No,Social Media,5,41,3
C10380,Individual,Male,India,South,1971-12-03,Investment,No,Online Search,5,55,3
C10381,Individual,Male,USA,Northeast,1994-11-01,Personal Use,Yes,Social Media,5,32,0
C10382,Individual,Male,India,South,1962-07-13,Personal Use,Yes,Online Search,4,64,3
C10383,Individual,Female,India,South,1977-10-05,Investment,No,Broker,4,49,3
C10384,Individual,Male,India,East,1993-05-17,Personal Use,No,Social Media,3,33,3
C10385,Individual,Female,USA,Northeast,2000-09-23,Investment,Yes,Referral,4,26,0
C10386,Individual,Male,India,South,1987-08-25,Investment,No,Property Portal,4,39,3
C10387,Individual,Female,Singapore,Central,1999-06-28,Investment,Yes,Broker,4,27,2
C10388,Individual,Male,India,South,1966-05-22,Investment,No,Online Search,5,60,3
C10389,Individual,Female,India,West,1998-11-18,Personal Use,No,Property Portal,5,28,3
C10390,Individual,Female,UAE,Dubai,1988-04-03,Investment,No,Social Media,5,38,1
C10391,Corporate,Male,Singapore,West,1961-07-09,Investment,No,Online Search,5,65,2
C10392,Individual,Male,India,East,1961-05-06,Investment,No,Broker,4,65,3
C10393,Individual,Male,USA,South,1977-10-28,Investment,No,Referral,3,49,0
C10394,Individual,Male,UAE,Dubai,1992-12-02,Investment,No,Referral,2,34,1
C10395,Individual,Female,India,North,1981-03-03,Investment,No,Social Media,4,45,3
C10396,Corporate,Male,Singapore,East,1966-12-12,Personal Use,No,Referral,4,60,2
C10397,Individual,Female,UK,Scotland,1990-09-23,Investment,Yes,Social Media,1,36,1
C10398,Individual,Female,UAE,Sharjah,1975-08-11,Investment,Yes,Property Portal,5,51,1
C10399,Individual,Male,Singapore,East,1962-10-27,Investment,No,Online Search,2,64,2
C10400,Individual,Female,Singapore,East,2000-09-22,Investment,Yes,Property Portal,3,26,2
C10401,Individual,Female,USA,South,1989-04-28,Personal Use,Yes,Referral,4,37,0
C10402,Corporate,Female,Singapore,Central,1970-01-24,Investment,No,Property Portal,3,56,2
C10403,Individual,Female,USA,Northeast,1971-07-02,Investment,No,Broker,2,55,0
C10404,Individual,Male,USA,Midwest,1986-08-28,Investment,No,Broker,3,40,0
C10405,Individual,Male,UAE,Sharjah,1970-05-07,Personal Use,Yes,Social Media,5,56,1
C10406,Corporate,Male,UK,England,1970-04-05,Personal Use,Yes,Social Media,4,56,4
C10407,Individual,Male,India,West,1968-08-01,Investment,Yes,Online Search,4,58,3
C10408,Individual,Female,Singapore,Central,1991-01-15,Personal Use,Yes,Property Portal,4,35,2
C10409,Corporate,Female,Singapore,East,1992-04-19,Investment,Yes,Property Portal,1,34,2
C10410,Individual,Male,India,North,1987-10-28,Personal Use,Yes,Referral,5,39,3
C10411,Individual,Male,Singapore,West,1985-02-28,Personal Use,No,Online Search,1,41,2
C10412,Corporate,Male,India,South,1962-03-11,Investment,No,Social Media,5,64,3
C10413,Corporate,Female,India,South,1984-11-11,Investment,Yes,Online Search,4,42,3
C10414,Individual,Male,USA,Midwest,1993-01-17,Investment,Yes,Referral,5,33,0
C10415,Individual,Male,India,South,1977-06-05,Investment,No,Broker,2,49,3
C10416,Individual,Male,UK,Scotland,1962-08-02,Personal Use,Yes,Property Portal,4,64,1
C10417,Individual,Female,Singapore,West,1988-04-24,Investment,No,Online Search,3,38,2
C10418,Individual,Female,India,West,1977-12-06,Investment,Yes,Referral,2,49,3
C10419,Individual,Female,India,South,1980-01-04,Personal Use,Yes,Referral,4,46,3
C10420,Individual,Female,India,West,1972-01-13,Investment,Yes,Social Media,3,54,3
C10421,Individual,Female,UAE,Dubai,1982-02-05,Investment,Yes,Online Search,4,44,1
C10422,Individual,Female,Australia,NSW,1981-08-24,Investment,No,Online Search,2,45,3
C10423,Individual,Female,UAE,Dubai,1970-11-03,Investment,No,Property Portal,3,56,1
C10424,Individual,Female,India,South,1981-11-13,Personal Use,No,Referral,5,45,3
C10425,Individual,Male,UAE,Dubai,1967-04-26,Investment,Yes,Referral,4,59,1
C10426,Individual,Male,India,West,1970-11-14,Investment,No,Property Portal,4,56,3
C10427,Individual,Female,UK,Scotland,1972-06-11,Investment,No,Broker,4,54,1
C10428,Corporate,Female,India,North,1963-11-10,Investment,No,Online Search,5,63,3
C10429,Individual,Male,UK,Wales,1990-03-18,Personal Use,Yes,Referral,3,36,1
C10430,Individual,Female,India,West,1961-06-27,Investment,Yes,Referral,4,65,3
C10431,Individual,Female,Australia,Victoria,1984-05-10,Investment,No,Broker,5,42,1
C10432,Individual,Female,India,North,1981-05-26,Personal Use,No,Broker,5,45,3
C10433,Individual,Male,UAE,Abu Dhabi,1989-05-10,Personal Use,Yes,Broker,4,37,1
C10434,Individual,Male,Canada,Quebec,1981-12-05,Investment,Yes,Social Media,4,45,1
C10435,Individual,Male,India,North,1994-03-23,Investment,No,Property Portal,5,32,3
C10436,Individual,Male,Canada,Ontario,1962-06-04,Personal Use,No,Online Search,4,64,5
C10437,Individual,Male,USA,Midwest,1995-02-28,Personal Use,Yes,Online Search,1,31,0
C10438,Individual,Female,India,South,1979-09-17,Investment,No,Social Media,3,47,3
C10439,Individual,Male,India,North,1970-11-15,Personal Use,No,Online Search,5,56,3
C10440,Individual,Female,USA,West,1991-04-17,Investment,No,Social Media,3,35,0
C10441,Individual,Female,India,East,1980-06-04,Investment,No,Property Portal,5,46,3
C10442,Corporate,Male,UAE,Abu Dhabi,1980-05-05,Investment,Yes,Property Portal,4,46,1
C10443,Individual,Male,India,North,1977-09-17,Investment,No,Social Media,4,49,3
C10444,Individual,Female,UAE,Dubai,1980-02-13,Personal Use,Yes,Social Media,2,46,1
C10445,Individual,Female,India,South,1974-06-21,Investment,No,Social Media,3,52,3
C10446,Corporate,Female,Singapore,East,1973-11-23,Investment,No,Social Media,5,53,2
C10447,Corporate,Male,Australia,NSW,1989-03-03,Personal Use,Yes,Online Search,5,37,3
C10448,Individual,Male,Australia,NSW,1984-10-02,Investment,No,Property Portal,4,42,3
C10449,Individual,Male,USA,South,2000-03-26,Investment,No,Online Search,4,26,0
C10450,Individual,Male,India,East,1973-01-21,Investment,Yes,Referral,4,53,3
C10451,Individual,Male,UK,England,1981-12-21,Investment,No,Online Search,4,45,4
C10452,Individual,Female,India,West,1987-12-11,Investment,No,Property Portal,4,39,3
C10453,Individual,Male,India,East,1975-07-04,Personal Use,No,Broker,2,51,3
C10454,Corporate,Female,India,East,1971-03-01,Investment,Yes,Property Portal,4,55,3
C10455,Individual,Female,India,West,1987-12-24,Investment,Yes,Broker,5,39,3
C10456,Individual,Female,UK,Wales,1979-03-13,Personal Use,Yes,Social Media,5,47,1
C10457,Individual,Female,USA,West,1978-02-11,Personal Use,No,Social Media,1,48,0
C10458,Individual,Male,India,West,1989-04-19,Investment,Yes,Broker,5,37,3
C10459,Individual,Male,India,North,1980-01-03,Investment,No,Social Media,4,46,3
C10460,Individual,Female,Australia,Victoria,1965-12-18,Investment,Yes,Referral,4,61,1
C10461,Individual,Female,India,North,1969-08-22,Investment,No,Online Search,2,57,3
C10462,Individual,Female,India,East,1999-09-24,Investment,Yes,Online Search,4,27,3
C10463,Individual,Female,India,West,1983-10-19,Investment,Yes,Referral,3,43,3
C10464,Individual,Female,UK,Wales,1979-05-07,Personal Use,Yes,Referral,3,47,1
C10465,Corporate,Female,USA,Northeast,1973-05-08,Investment,Yes,Broker,5,53,0
C10466,Individual,Male,India,South,1972-12-05,Personal Use,No,Online Search,4,54,3
C10467,Individual,Male,India,West,1963-01-05,Investment,No,Referral,4,63,3
C10468,Individual,Male,USA,Midwest,1977-04-22,Personal Use,No,Online Search,5,49,0
C10469,Individual,Male,UAE,Sharjah,1965-03-27,Investment,No,Online Search,3,61,1
C10470,Corporate,Female,India,East,1994-05-02,Personal Use,No,Referral,3,32,3
C10471,Individual,Female,Australia,Queensland,1986-11-22,Investment,No,Online Search,4,40,3
C10472,Corporate,Male,India,South,1994-12-22,Investment,No,Social Media,3,32,3
C10473,Individual,Female,India,East,2001-05-22,Investment,No,Social Media,3,25,3
C10474,Corporate,Male,Canada,Alberta,1997-11-07,Personal Use,Yes,Social Media,3,29,5
C10475,Individual,Male,India,South,1999-12-05,Investment,No,Online Search,2,27,3
C10476,Corporate,Male,UAE,Sharjah,2001-01-24,Investment,Yes,Online Search,5,25,1
C10477,Individual,Female,India,West,1998-04-09,Investment,No,Online Search,3,28,3
C10478,Individual,Female,India,West,1962-10-12,Investment,No,Online Search,4,64,3
C10479,Corporate,Male,Australia,NSW,1967-06-17,Investment,Yes,Broker,1,59,3
C10480,Individual,Male,India,South,1970-03-19,Investment,Yes,Social Media,4,56,3
C10481,Individual,Female,Canada,Quebec,1968-10-16,Personal Use,No,Social Media,3,58,1
C10482,Individual,Female,India,West,1977-12-12,Personal Use,No,Social Media,5,49,3
C10483,Individual,Male,India,North,1992-04-06,Personal Use,Yes,Broker,4,34,3
C10484,Individual,Female,India,West,1981-07-26,Investment,No,Property Portal,3,45,3
C10485,Individual,Female,UAE,Dubai,1963-04-06,Personal Use,No,Broker,4,63,1
C10486,Corporate,Female,India,West,1975-11-01,Personal Use,No,Broker,2,51,3
C10487,Individual,Female,Singapore,Central,1975-08-23,Personal Use,No,Referral,4,51,2
C10488,Individual,Female,India,East,2000-11-11,Personal Use,No,Broker,3,26,3
C10489,Corporate,Female,Australia,Victoria,1961-09-19,Investment,Yes,Referral,5,65,1
C10490,Corporate,Female,India,West,1989-02-17,Personal Use,No,Online Search,2,37,3
C10491,Individual,Female,Singapore,Central,1993-03-21,Investment,No,Online Search,4,33,2
C10492,Individual,Female,UK,Wales,1966-11-18,Investment,Yes,Social Media,3,60,1
C10493,Individual,Female,UK,Wales,1980-12-19,Investment,Yes,Property Portal,3,46,1
C10494,Individual,Male,Singapore,East,1976-04-07,Personal Use,Yes,Referral,4,50,2
C10495,Individual,Male,UK,Scotland,1990-03-16,Personal Use,No,Broker,5,36,1
C10496,Individual,Female,UAE,Abu Dhabi,1985-09-08,Personal Use,No,Social Media,3,41,1
C10497,Individual,Male,India,North,1988-04-13,Personal Use,No,Referral,2,38,3
C10498,Individual,Male,India,South,1988-01-17,Investment,No,Online Search,3,38,3
C10499,Corporate,Female,Canada,Ontario,1968-01-01,Investment,No,Online Search,2,58,5
C10500,Corporate,Female,UAE,Abu Dhabi,1982-08-19,Investment,Yes,Property Portal,2,44,1
